id,year,name,park,wins,losses
1010,1939,"Boston Bees","Braves Field",63,88
1011,1939,"Chicago White Sox","Comiskey Park",85,69
1012,1939,"Chicago Cubs","Wrigley Field",84,70
1013,1939,"Cincinnati Reds","Crosley Field",97,57
1014,1939,"Cleveland Indians","League Park II/Cleveland Stadium",87,67
1015,1939,"Detroit Tigers","Briggs Stadium",81,73
1016,1939,"New York Giants","Polo Grounds IV",77,74
1017,1939,"New York Yankees","Yankee Stadium I",106,45
1018,1939,"Philadelphia Athletics","Shibe Park",55,97
1019,1939,"Philadelphia Phillies","Shibe Park",45,106
1020,1939,"Pittsburgh Pirates","Forbes Field",68,85
1021,1939,"St. Louis Browns","Sportsman's Park IV",43,111
1022,1939,"St. Louis Cardinals","Sportsman's Park IV",92,61
1023,1939,"Washington Senators","Griffith Stadium I",65,87
1024,1940,"Boston Red Sox","Fenway Park II",82,72
1025,1940,"Brooklyn Dodgers","Ebbets Field",88,65
1026,1940,"Boston Bees","Braves Field",65,87
1027,1940,"Chicago White Sox","Comiskey Park",82,72
1028,1940,"Chicago Cubs","Wrigley Field",75,79
1029,1940,"Cincinnati Reds","Crosley Field",100,53
1030,1940,"Cleveland Indians","League Park II/Cleveland Stadium",89,65
1031,1940,"Detroit Tigers","Briggs Stadium",90,64
1032,1940,"New York Giants","Polo Grounds IV",72,80
1033,1940,"New York Yankees","Yankee Stadium I",88,66
1034,1940,"Philadelphia Athletics","Shibe Park",54,100
1035,1940,"Philadelphia Phillies","Shibe Park",50,103
1036,1940,"Pittsburgh Pirates","Forbes Field",78,76
1037,1940,"St. Louis Browns","Sportsman's Park IV",67,87
1038,1940,"St. Louis Cardinals","Sportsman's Park IV",84,69
1039,1940,"Washington Senators","Griffith Stadium I",64,90
1040,1941,"Boston Red Sox","Fenway Park II",84,70
1041,1941,"Brooklyn Dodgers","Ebbets Field",100,54
1042,1941,"Boston Braves","Braves Field",62,92
1043,1941,"Chicago White Sox","Comiskey Park",77,77
1044,1941,"Chicago Cubs","Wrigley Field",70,84
1045,1941,"Cincinnati Reds","Crosley Field",88,66
1046,1941,"Cleveland Indians","League Park II/Cleveland Stadium",75,79
1047,1941,"Detroit Tigers","Briggs Stadium",75,79
1048,1941,"New York Giants","Polo Grounds IV",74,79
1049,1941,"New York Yankees","Yankee Stadium I",101,53
1050,1941,"Philadelphia Athletics","Shibe Park",64,90
1051,1941,"Philadelphia Phillies","Shibe Park",43,111
1052,1941,"Pittsburgh Pirates","Forbes Field",81,73
1053,1941,"St. Louis Browns","Sportsman's Park IV",70,84
1054,1941,"St. Louis Cardinals","Sportsman's Park IV",97,56
1055,1941,"Washington Senators","Griffith Stadium I",70,84
1056,1942,"Boston Red Sox","Fenway Park II",93,59
1057,1942,"Brooklyn Dodgers","Ebbets Field",104,50
1058,1942,"Boston Braves","Braves Field",59,89
1059,1942,"Chicago White Sox","Comiskey Park",66,82
1060,1942,"Chicago Cubs","Wrigley Field",68,86
1061,1942,"Cincinnati Reds","Crosley Field",76,76
1062,1942,"Cleveland Indians","League Park II/Cleveland Stadium",75,79
1063,1942,"Detroit Tigers","Briggs Stadium",73,81
1064,1942,"New York Giants","Polo Grounds IV",85,67
1065,1942,"New York Yankees","Yankee Stadium I",103,51
1066,1942,"Philadelphia Athletics","Shibe Park",55,99
1067,1942,"Philadelphia Phillies","Shibe Park",42,109
1068,1942,"Pittsburgh Pirates","Forbes Field",66,81
1069,1942,"St. Louis Browns","Sportsman's Park IV",82,69
1070,1942,"St. Louis Cardinals","Sportsman's Park IV",106,48
1071,1942,"Washington Senators","Griffith Stadium I",62,89
1072,1943,"Boston Red Sox","Fenway Park II",68,84
1073,1943,"Brooklyn Dodgers","Ebbets Field",81,72
1074,1943,"Boston Braves","Braves Field",68,85
1075,1943,"Chicago White Sox","Comiskey Park",82,72
1076,1943,"Chicago Cubs","Wrigley Field",74,79
1077,1943,"Cincinnati Reds","Crosley Field",87,67
1078,1943,"Cleveland Indians","League Park II/Cleveland Stadium",82,71
1079,1943,"Detroit Tigers","Briggs Stadium",78,76
1080,1943,"New York Giants","Polo Grounds IV",55,98
1081,1943,"New York Yankees","Yankee Stadium I",98,56
1082,1943,"Philadelphia Athletics","Shibe Park",49,105
1083,1943,"Philadelphia Blue Jays","Shibe Park",64,90
1084,1943,"Pittsburgh Pirates","Forbes Field",80,74
1085,1943,"St. Louis Browns","Sportsman's Park IV",72,80
1086,1943,"St. Louis Cardinals","Sportsman's Park IV",105,49
1087,1943,"Washington Senators","Griffith Stadium I",84,69
1088,1944,"Boston Red Sox","Fenway Park II",77,77
1089,1944,"Brooklyn Dodgers","Ebbets Field",63,91
1090,1944,"Boston Braves","Braves Field",65,89
1091,1944,"Chicago White Sox","Comiskey Park",71,83
1092,1944,"Chicago Cubs","Wrigley Field",75,79
1093,1944,"Cincinnati Reds","Crosley Field",89,65
1094,1944,"Cleveland Indians","League Park II/Cleveland Stadium",72,82
1095,1944,"Detroit Tigers","Briggs Stadium",88,66
1096,1944,"New York Giants","Polo Grounds IV",67,87
1097,1944,"New York Yankees","Yankee Stadium I",83,71
1098,1944,"Philadelphia Athletics","Shibe Park",72,82
1099,1944,"Philadelphia Blue Jays","Shibe Park",61,92
1100,1944,"Pittsburgh Pirates","Forbes Field",90,63
1101,1944,"St. Louis Browns","Sportsman's Park IV",89,65
1102,1944,"St. Louis Cardinals","Sportsman's Park IV",105,49
1103,1944,"Washington Senators","Griffith Stadium I",64,90
1104,1945,"Boston Red Sox","Fenway Park II",71,83
1105,1945,"Brooklyn Dodgers","Ebbets Field",87,67
1106,1945,"Boston Braves","Braves Field",67,85
1107,1945,"Chicago White Sox","Comiskey Park",71,78
1108,1945,"Chicago Cubs","Wrigley Field",98,56
1109,1945,"Cincinnati Reds","Crosley Field",61,93
1110,1945,"Cleveland Indians","League Park II/Cleveland Stadium",73,72
1111,1945,"Detroit Tigers","Briggs Stadium",88,65
1112,1945,"New York Giants","Polo Grounds IV",78,74
1113,1945,"New York Yankees","Yankee Stadium I",81,71
1114,1945,"Philadelphia Athletics","Shibe Park",52,98
1115,1945,"Philadelphia Phillies","Shibe Park",46,108
1116,1945,"Pittsburgh Pirates","Forbes Field",82,72
1117,1945,"St. Louis Browns","Sportsman's Park IV",81,70
1118,1945,"St. Louis Cardinals","Sportsman's Park IV",95,59
1119,1945,"Washington Senators","Griffith Stadium I",87,67
1120,1946,"Boston Red Sox","Fenway Park II",104,50
1121,1946,"Brooklyn Dodgers","Ebbets Field",96,60
1122,1946,"Boston Braves","Braves Field",81,72
1123,1946,"Chicago White Sox","Comiskey Park",74,80
1124,1946,"Chicago Cubs","Wrigley Field",82,71
1125,1946,"Cincinnati Reds","Crosley Field",67,87
1126,1946,"Cleveland Indians","League Park II/Cleveland Stadium",68,86
1127,1946,"Detroit Tigers","Briggs Stadium",92,62
1128,1946,"New York Giants","Polo Grounds IV",61,93
1129,1946,"New York Yankees","Yankee Stadium I",87,67
1130,1946,"Philadelphia Athletics","Shibe Park",49,105
1131,1946,"Philadelphia Phillies","Shibe Park",69,85
1132,1946,"Pittsburgh Pirates","Forbes Field",63,91
1133,1946,"St. Louis Browns","Sportsman's Park IV",66,88
1134,1946,"St. Louis Cardinals","Sportsman's Park IV",98,58
1135,1946,"Washington Senators","Griffith Stadium I",76,78
1136,1947,"Boston Red Sox","Fenway Park II",83,71
1137,1947,"Brooklyn Dodgers","Ebbets Field",94,60
1138,1947,"Boston Braves","Braves Field",86,68
1139,1947,"Chicago White Sox","Comiskey Park",70,84
1140,1947,"Chicago Cubs","Wrigley Field",69,85
1141,1947,"Cincinnati Reds","Crosley Field",73,81
1142,1947,"Cleveland Indians","Cleveland Stadium",80,74
1143,1947,"Detroit Tigers","Briggs Stadium",85,69
1144,1947,"New York Giants","Polo Grounds IV",81,73
1145,1947,"New York Yankees","Yankee Stadium I",97,57
1146,1947,"Philadelphia Athletics","Shibe Park",78,76
1147,1947,"Philadelphia Phillies","Shibe Park",62,92
1148,1947,"Pittsburgh Pirates","Forbes Field",62,92
1149,1947,"St. Louis Browns","Sportsman's Park IV",59,95
1150,1947,"St. Louis Cardinals","Sportsman's Park IV",89,65
1151,1947,"Washington Senators","Griffith Stadium I",64,90
1152,1948,"Boston Red Sox","Fenway Park II",96,59
1153,1948,"Brooklyn Dodgers","Ebbets Field",84,70
1154,1948,"Boston Braves","Braves Field",91,62
1155,1948,"Chicago White Sox","Comiskey Park",51,101
1156,1948,"Chicago Cubs","Wrigley Field",64,90
1157,1948,"Cincinnati Reds","Crosley Field",64,89
1158,1948,"Cleveland Indians","Cleveland Stadium",97,58
1159,1948,"Detroit Tigers","Briggs Stadium",78,76
1160,1948,"New York Giants","Polo Grounds IV",78,76
1161,1948,"New York Yankees","Yankee Stadium I",94,60
1162,1948,"Philadelphia Athletics","Shibe Park",84,70
1163,1948,"Philadelphia Phillies","Shibe Park",66,88
1164,1948,"Pittsburgh Pirates","Forbes Field",83,71
1165,1948,"St. Louis Browns","Sportsman's Park IV",59,94
1166,1948,"St. Louis Cardinals","Sportsman's Park IV",85,69
1167,1948,"Washington Senators","Griffith Stadium I",56,97
1168,1949,"Boston Red Sox","Fenway Park II",96,58
1169,1949,"Brooklyn Dodgers","Ebbets Field",97,57
1170,1949,"Boston Braves","Braves Field",75,79
1171,1949,"Chicago White Sox","Comiskey Park",63,91
1172,1949,"Chicago Cubs","Wrigley Field",61,93
1173,1949,"Cincinnati Reds","Crosley Field",62,92
1174,1949,"Cleveland Indians","Cleveland Stadium",89,65
1175,1949,"Detroit Tigers","Briggs Stadium",87,67
1176,1949,"New York Giants","Polo Grounds IV",73,81
1177,1949,"New York Yankees","Yankee Stadium I",97,57
1178,1949,"Philadelphia Athletics","Shibe Park",81,73
1179,1949,"Philadelphia Phillies","Shibe Park",81,73
1180,1949,"Pittsburgh Pirates","Forbes Field",71,83
1181,1949,"St. Louis Browns","Sportsman's Park IV",53,101
1182,1949,"St. Louis Cardinals","Sportsman's Park IV",96,58
1183,1949,"Washington Senators","Griffith Stadium I",50,104
1184,1950,"Boston Red Sox","Fenway Park II",94,60
1185,1950,"Brooklyn Dodgers","Ebbets Field",89,65
1186,1950,"Boston Braves","Braves Field",83,71
1187,1950,"Chicago White Sox","Comiskey Park",60,94
1188,1950,"Chicago Cubs","Wrigley Field",64,89
1189,1950,"Cincinnati Reds","Crosley Field",66,87
1190,1950,"Cleveland Indians","Cleveland Stadium",92,62
1191,1950,"Detroit Tigers","Briggs Stadium",95,59
1192,1950,"New York Giants","Polo Grounds IV",86,68
1193,1950,"New York Yankees","Yankee Stadium I",98,56
1194,1950,"Philadelphia Athletics","Shibe Park",52,102
1195,1950,"Philadelphia Phillies","Shibe Park",91,63
1196,1950,"Pittsburgh Pirates","Forbes Field",57,96
1197,1950,"St. Louis Browns","Sportsman's Park IV",58,96
1198,1950,"St. Louis Cardinals","Sportsman's Park IV",78,75
1199,1950,"Washington Senators","Griffith Stadium I",67,87
1200,1951,"Boston Red Sox","Fenway Park II",87,67
1201,1951,"Brooklyn Dodgers","Ebbets Field",97,60
1202,1951,"Boston Braves","Braves Field",76,78
1203,1951,"Chicago White Sox","Comiskey Park",81,73
1204,1951,"Chicago Cubs","Wrigley Field",62,92
1205,1951,"Cincinnati Reds","Crosley Field",68,86
1206,1951,"Cleveland Indians","Cleveland Stadium",93,61
1207,1951,"Detroit Tigers","Briggs Stadium",73,81
1208,1951,"New York Giants","Polo Grounds IV",98,59
1209,1951,"New York Yankees","Yankee Stadium I",98,56
1210,1951,"Philadelphia Athletics","Shibe Park",70,84
1211,1951,"Philadelphia Phillies","Shibe Park",73,81
1212,1951,"Pittsburgh Pirates","Forbes Field",64,90
1213,1951,"St. Louis Browns","Sportsman's Park IV",52,102
1214,1951,"St. Louis Cardinals","Sportsman's Park IV",81,73
1215,1951,"Washington Senators","Griffith Stadium I",62,92
1216,1952,"Boston Red Sox","Fenway Park II",76,78
1217,1952,"Brooklyn Dodgers","Ebbets Field",96,57
1218,1952,"Boston Braves","Braves Field",64,89
1219,1952,"Chicago White Sox","Comiskey Park",81,73
1220,1952,"Chicago Cubs","Wrigley Field",77,77
1221,1952,"Cincinnati Reds","Crosley Field",69,85
1222,1952,"Cleveland Indians","Cleveland Stadium",93,61
1223,1952,"Detroit Tigers","Briggs Stadium",50,104
1224,1952,"New York Giants","Polo Grounds IV",92,62
1225,1952,"New York Yankees","Yankee Stadium I",95,59
1226,1952,"Philadelphia Athletics","Shibe Park",79,75
1227,1952,"Philadelphia Phillies","Shibe Park",87,67
1228,1952,"Pittsburgh Pirates","Forbes Field",42,112
1229,1952,"St. Louis Browns","Sportsman's Park IV",64,90
1230,1952,"St. Louis Cardinals","Sportsman's Park IV",88,66
1231,1952,"Washington Senators","Griffith Stadium I",78,76
1232,1953,"Boston Red Sox","Fenway Park II",84,69
1233,1953,"Brooklyn Dodgers","Ebbets Field",105,49
1234,1953,"Chicago White Sox","Comiskey Park",89,65
1235,1953,"Chicago Cubs","Wrigley Field",65,89
1236,1953,"Cincinnati Reds","Crosley Field",68,86
1237,1953,"Cleveland Indians","Cleveland Stadium",92,62
1238,1953,"Detroit Tigers","Briggs Stadium",60,94
1239,1953,"Milwaukee Braves","County Stadium",92,62
1240,1953,"New York Giants","Polo Grounds IV",70,84
1241,1953,"New York Yankees","Yankee Stadium I",99,52
1242,1953,"Philadelphia Athletics","Connie Mack Stadium",59,95
1243,1953,"Philadelphia Phillies","Connie Mack Stadium",83,71
1244,1953,"Pittsburgh Pirates","Forbes Field",50,104
1245,1953,"St. Louis Browns","Sportsman's Park IV",54,100
1246,1953,"St. Louis Cardinals","Sportsman's Park IV",83,71
1247,1953,"Washington Senators","Griffith Stadium I",76,76
1248,1954,"Baltimore Orioles","Memorial Stadium",54,100
1249,1954,"Boston Red Sox","Fenway Park II",69,85
1250,1954,"Brooklyn Dodgers","Ebbets Field",92,62
1251,1954,"Chicago White Sox","Comiskey Park",94,60
1252,1954,"Chicago Cubs","Wrigley Field",64,90
1253,1954,"Cincinnati Redlegs","Crosley Field",74,80
1254,1954,"Cleveland Indians","Cleveland Stadium",111,43
1255,1954,"Detroit Tigers","Briggs Stadium",68,86
1256,1954,"Milwaukee Braves","County Stadium",89,65
1257,1954,"New York Giants","Polo Grounds IV",97,57
1258,1954,"New York Yankees","Yankee Stadium I",103,51
1259,1954,"Philadelphia Athletics","Connie Mack Stadium",51,103
1260,1954,"Philadelphia Phillies","Connie Mack Stadium",75,79
1261,1954,"Pittsburgh Pirates","Forbes Field",53,101
1262,1954,"St. Louis Cardinals","Sportsman's Park IV",72,82
1263,1954,"Washington Senators","Griffith Stadium I",66,88
1264,1955,"Baltimore Orioles","Memorial Stadium",57,97
1265,1955,"Boston Red Sox","Fenway Park II",84,70
1266,1955,"Brooklyn Dodgers","Ebbets Field",98,55
1267,1955,"Chicago White Sox","Comiskey Park",91,63
1268,1955,"Chicago Cubs","Wrigley Field",72,81
1269,1955,"Cincinnati Redlegs","Crosley Field",75,79
1270,1955,"Cleveland Indians","Cleveland Stadium",93,61
1271,1955,"Detroit Tigers","Briggs Stadium",79,75
1272,1955,"Kansas City Athletics","Municipal Stadium I",63,91
1273,1955,"Milwaukee Braves","County Stadium",85,69
1274,1955,"New York Giants","Polo Grounds IV",80,74
1275,1955,"New York Yankees","Yankee Stadium I",96,58
1276,1955,"Philadelphia Phillies","Connie Mack Stadium",77,77
1277,1955,"Pittsburgh Pirates","Forbes Field",60,94
1278,1955,"St. Louis Cardinals","Sportsman's Park IV",68,86
1279,1955,"Washington Senators","Griffith Stadium I",53,101
1280,1956,"Baltimore Orioles","Memorial Stadium",69,85
1281,1956,"Boston Red Sox","Fenway Park II",84,70
1282,1956,"Brooklyn Dodgers","Ebbets Field",93,61
1283,1956,"Chicago White Sox","Comiskey Park",85,69
1284,1956,"Chicago Cubs","Wrigley Field",60,94
1285,1956,"Cincinnati Redlegs","Crosley Field",91,63
1286,1956,"Cleveland Indians","Cleveland Stadium",88,66
1287,1956,"Detroit Tigers","Briggs Stadium",82,72
1288,1956,"Kansas City Athletics","Municipal Stadium I",52,102
1289,1956,"Milwaukee Braves","County Stadium",92,62
1290,1956,"New York Giants","Polo Grounds IV",67,87
1291,1956,"New York Yankees","Yankee Stadium I",97,57
1292,1956,"Philadelphia Phillies","Connie Mack Stadium",71,83
1293,1956,"Pittsburgh Pirates","Forbes Field",66,88
1294,1956,"St. Louis Cardinals","Sportsman's Park IV",76,78
1295,1956,"Washington Senators","Griffith Stadium II",59,95
1296,1957,"Baltimore Orioles","Memorial Stadium",76,76
1297,1957,"Boston Red Sox","Fenway Park II",82,72
1298,1957,"Brooklyn Dodgers","Ebbets Field",84,70
1299,1957,"Chicago White Sox","Comiskey Park",90,64
1300,1957,"Chicago Cubs","Wrigley Field",62,92
1301,1957,"Cincinnati Redlegs","Crosley Field",80,74
1302,1957,"Cleveland Indians","Cleveland Stadium",76,77
1303,1957,"Detroit Tigers","Briggs Stadium",78,76
1304,1957,"Kansas City Athletics","Municipal Stadium I",59,94
1305,1957,"Milwaukee Braves","County Stadium",95,59
1306,1957,"New York Giants","Polo Grounds IV",69,85
1307,1957,"New York Yankees","Yankee Stadium I",98,56
1308,1957,"Philadelphia Phillies","Connie Mack Stadium",77,77
1309,1957,"Pittsburgh Pirates","Forbes Field",62,92
1310,1957,"St. Louis Cardinals","Sportsman's Park IV",87,67
1311,1957,"Washington Senators","Griffith Stadium II",55,99
1312,1958,"Baltimore Orioles","Memorial Stadium",74,79
1313,1958,"Boston Red Sox","Fenway Park II",79,75
1314,1958,"Chicago White Sox","Comiskey Park",82,72
1315,1958,"Chicago Cubs","Wrigley Field",72,82
1316,1958,"Cincinnati Redlegs","Crosley Field",76,78
1317,1958,"Cleveland Indians","Cleveland Stadium",77,76
1318,1958,"Detroit Tigers","Briggs Stadium",77,77
1319,1958,"Kansas City Athletics","Municipal Stadium I",73,81
1320,1958,"Los Angeles Dodgers","Los Angeles Memorial Coliseum",71,83
1321,1958,"Milwaukee Braves","County Stadium",92,62
1322,1958,"New York Yankees","Yankee Stadium I",92,62
1323,1958,"Philadelphia Phillies","Connie Mack Stadium",69,85
1324,1958,"Pittsburgh Pirates","Forbes Field",84,70
1325,1958,"San Francisco Giants","Seals Stadium",80,74
1326,1958,"St. Louis Cardinals","Sportsman's Park IV",72,82
1327,1958,"Washington Senators","Griffith Stadium II",61,93
1328,1959,"Baltimore Orioles","Memorial Stadium",74,80
1329,1959,"Boston Red Sox","Fenway Park II",75,79
1330,1959,"Chicago White Sox","Comiskey Park",94,60
1331,1959,"Chicago Cubs","Wrigley Field",74,80
1332,1959,"Cincinnati Redlegs","Crosley Field",74,80
1333,1959,"Cleveland Indians","Cleveland Stadium",89,65
1334,1959,"Detroit Tigers","Briggs Stadium",76,78
1335,1959,"Kansas City Athletics","Municipal Stadium I",66,88
1336,1959,"Los Angeles Dodgers","Los Angeles Memorial Coliseum",88,68
1337,1959,"Milwaukee Braves","County Stadium",86,70
1338,1959,"New York Yankees","Yankee Stadium I",79,75
1339,1959,"Philadelphia Phillies","Connie Mack Stadium",64,90
1340,1959,"Pittsburgh Pirates","Forbes Field",78,76
1341,1959,"San Francisco Giants","Seals Stadium",83,71
1342,1959,"St. Louis Cardinals","Sportsman's Park IV",71,83
1343,1959,"Washington Senators","Griffith Stadium II",63,91
1344,1960,"Baltimore Orioles","Memorial Stadium",89,65
1345,1960,"Boston Red Sox","Fenway Park II",65,89
1346,1960,"Chicago White Sox","Comiskey Park",87,67
1347,1960,"Chicago Cubs","Wrigley Field",60,94
1348,1960,"Cincinnati Reds","Crosley Field",67,87
1349,1960,"Cleveland Indians","Cleveland Stadium",76,78
1350,1960,"Detroit Tigers","Briggs Stadium",71,83
1351,1960,"Kansas City Athletics","Municipal Stadium I",58,96
1352,1960,"Los Angeles Dodgers","Los Angeles Memorial Coliseum",82,72
1353,1960,"Milwaukee Braves","County Stadium",88,66
1354,1960,"New York Yankees","Yankee Stadium I",97,57
1355,1960,"Philadelphia Phillies","Connie Mack Stadium",59,95
1356,1960,"Pittsburgh Pirates","Forbes Field",95,59
1357,1960,"San Francisco Giants","Candlestick Park",79,75
1358,1960,"St. Louis Cardinals","Sportsman's Park IV",86,68
1359,1960,"Washington Senators","Griffith Stadium II",73,81
1360,1961,"Baltimore Orioles","Memorial Stadium",95,67
1361,1961,"Boston Red Sox","Fenway Park II",76,86
1362,1961,"Chicago White Sox","Comiskey Park",86,76
1363,1961,"Chicago Cubs","Wrigley Field",64,90
1364,1961,"Cincinnati Reds","Crosley Field",93,61
1365,1961,"Cleveland Indians","Cleveland Stadium",78,83
1366,1961,"Detroit Tigers","Tiger Stadium",101,61
1367,1961,"Kansas City Athletics","Municipal Stadium I",61,100
1368,1961,"Los Angeles Angels","Wrigley Field (LA)",70,91
1369,1961,"Los Angeles Dodgers","Los Angeles Memorial Coliseum",89,65
1370,1961,"Minnesota Twins","Metropolitan Stadium",70,90
1371,1961,"Milwaukee Braves","County Stadium",83,71
1372,1961,"New York Yankees","Yankee Stadium I",109,53
1373,1961,"Philadelphia Phillies","Connie Mack Stadium",47,107
1374,1961,"Pittsburgh Pirates","Forbes Field",75,79
1375,1961,"San Francisco Giants","Candlestick Park",85,69
1376,1961,"St. Louis Cardinals","Sportsman's Park IV",80,74
1377,1961,"Washington Senators","Griffith Stadium II",61,100
1378,1962,"Baltimore Orioles","Memorial Stadium",77,85
1379,1962,"Boston Red Sox","Fenway Park II",76,84
1380,1962,"Chicago White Sox","Comiskey Park",85,77
1381,1962,"Chicago Cubs","Wrigley Field",59,103
1382,1962,"Cincinnati Reds","Crosley Field",98,64
1383,1962,"Cleveland Indians","Cleveland Stadium",80,82
1384,1962,"Detroit Tigers","Tiger Stadium",85,76
1385,1962,"Houston Colt .45's","Colt Stadium",64,96
1386,1962,"Kansas City Athletics","Municipal Stadium I",72,90
1387,1962,"Los Angeles Angels","Dodger Stadium",86,76
1388,1962,"Los Angeles Dodgers","Dodger Stadium",102,63
1389,1962,"Minnesota Twins","Metropolitan Stadium",91,71
1390,1962,"Milwaukee Braves","County Stadium",86,76
1391,1962,"New York Yankees","Yankee Stadium I",96,66
1392,1962,"New York Mets","Polo Grounds IV",40,120
1393,1962,"Philadelphia Phillies","Connie Mack Stadium",81,80
1394,1962,"Pittsburgh Pirates","Forbes Field",93,68
1395,1962,"San Francisco Giants","Candlestick Park",103,62
1396,1962,"St. Louis Cardinals","Sportsman's Park IV",84,78
1397,1962,"Washington Senators","R.F.K. Stadium",60,101
1398,1963,"Baltimore Orioles","Memorial Stadium",86,76
1399,1963,"Boston Red Sox","Fenway Park II",76,85
1400,1963,"Chicago White Sox","Comiskey Park",94,68
1401,1963,"Chicago Cubs","Wrigley Field",82,80
1402,1963,"Cincinnati Reds","Crosley Field",86,76
1403,1963,"Cleveland Indians","Cleveland Stadium",79,83
1404,1963,"Detroit Tigers","Tiger Stadium",79,83
1405,1963,"Houston Colt .45's","Colt Stadium",66,96
1406,1963,"Kansas City Athletics","Municipal Stadium I",73,89
1407,1963,"Los Angeles Angels","Dodger Stadium",70,91
1408,1963,"Los Angeles Dodgers","Dodger Stadium",99,63
1409,1963,"Minnesota Twins","Metropolitan Stadium",91,70
1410,1963,"Milwaukee Braves","County Stadium",84,78
1411,1963,"New York Yankees","Yankee Stadium I",104,57
1412,1963,"New York Mets","Polo Grounds IV",51,111
1413,1963,"Philadelphia Phillies","Connie Mack Stadium",87,75
1414,1963,"Pittsburgh Pirates","Forbes Field",74,88
1415,1963,"San Francisco Giants","Candlestick Park",88,74
1416,1963,"St. Louis Cardinals","Sportsman's Park IV",93,69
1417,1963,"Washington Senators","R.F.K. Stadium",56,106
1418,1964,"Baltimore Orioles","Memorial Stadium",97,65
1419,1964,"Boston Red Sox","Fenway Park II",72,90
1420,1964,"Chicago White Sox","Comiskey Park",98,64
1421,1964,"Chicago Cubs","Wrigley Field",76,86
1422,1964,"Cincinnati Reds","Crosley Field",92,70
1423,1964,"Cleveland Indians","Cleveland Stadium",79,83
1424,1964,"Detroit Tigers","Tiger Stadium",85,77
1425,1964,"Houston Colt .45's","Colt Stadium",66,96
1426,1964,"Kansas City Athletics","Municipal Stadium I",57,105
1427,1964,"Los Angeles Angels","Dodger Stadium",82,80
1428,1964,"Los Angeles Dodgers","Dodger Stadium",80,82
1429,1964,"Minnesota Twins","Metropolitan Stadium",79,83
1430,1964,"Milwaukee Braves","County Stadium",88,74
1431,1964,"New York Yankees","Yankee Stadium I",99,63
1432,1964,"New York Mets","Shea Stadium",53,109
1433,1964,"Philadelphia Phillies","Connie Mack Stadium",92,70
1434,1964,"Pittsburgh Pirates","Forbes Field",80,82
1435,1964,"San Francisco Giants","Candlestick Park",90,72
1436,1964,"St. Louis Cardinals","Sportsman's Park IV",93,69
1437,1964,"Washington Senators","R.F.K. Stadium",62,100
1438,1965,"Baltimore Orioles","Memorial Stadium",94,68
1439,1965,"Boston Red Sox","Fenway Park II",62,100
1440,1965,"California Angels","Dodger Stadium",75,87
1441,1965,"Chicago White Sox","Comiskey Park",95,67
1442,1965,"Chicago Cubs","Wrigley Field",72,90
1443,1965,"Cincinnati Reds","Crosley Field",89,73
1444,1965,"Cleveland Indians","Cleveland Stadium",87,75
1445,1965,"Detroit Tigers","Tiger Stadium",89,73
1446,1965,"Houston Astros",Astrodome,65,97
1447,1965,"Kansas City Athletics","Municipal Stadium I",59,103
1448,1965,"Los Angeles Dodgers","Dodger Stadium",97,65
1449,1965,"Minnesota Twins","Metropolitan Stadium",102,60
1450,1965,"Milwaukee Braves","County Stadium",86,76
1451,1965,"New York Yankees","Yankee Stadium I",77,85
1452,1965,"New York Mets","Shea Stadium",50,112
1453,1965,"Philadelphia Phillies","Connie Mack Stadium",85,76
1454,1965,"Pittsburgh Pirates","Forbes Field",90,72
1455,1965,"San Francisco Giants","Candlestick Park",95,67
1456,1965,"St. Louis Cardinals","Sportsman's Park IV",80,81
1457,1965,"Washington Senators","R.F.K. Stadium",70,92
1458,1966,"Atlanta Braves","Atlanta-Fulton County Stadium",85,77
1459,1966,"Baltimore Orioles","Memorial Stadium",97,63
1460,1966,"Boston Red Sox","Fenway Park II",72,90
1461,1966,"California Angels","Anaheim Stadium",80,82
1462,1966,"Chicago White Sox","Comiskey Park",83,79
1463,1966,"Chicago Cubs","Wrigley Field",59,103
1464,1966,"Cincinnati Reds","Crosley Field",76,84
1465,1966,"Cleveland Indians","Cleveland Stadium",81,81
1466,1966,"Detroit Tigers","Tiger Stadium",88,74
1467,1966,"Houston Astros",Astrodome,72,90
1468,1966,"Kansas City Athletics","Municipal Stadium I",74,86
1469,1966,"Los Angeles Dodgers","Dodger Stadium",95,67
1470,1966,"Minnesota Twins","Metropolitan Stadium",89,73
1471,1966,"New York Yankees","Yankee Stadium I",70,89
1472,1966,"New York Mets","Shea Stadium",66,95
1473,1966,"Philadelphia Phillies","Connie Mack Stadium",87,75
1474,1966,"Pittsburgh Pirates","Forbes Field",92,70
1475,1966,"San Francisco Giants","Candlestick Park",93,68
1476,1966,"St. Louis Cardinals","Sportsman's Park IV/Busch Stadium II",83,79
1477,1966,"Washington Senators","R.F.K. Stadium",71,88
1478,1967,"Atlanta Braves","Atlanta-Fulton County Stadium",77,85
1479,1967,"Baltimore Orioles","Memorial Stadium",76,85
1480,1967,"Boston Red Sox","Fenway Park II",92,70
1481,1967,"California Angels","Anaheim Stadium",84,77
1482,1967,"Chicago White Sox","Comiskey Park",89,73
1483,1967,"Chicago Cubs","Wrigley Field",87,74
1484,1967,"Cincinnati Reds","Crosley Field",87,75
1485,1967,"Cleveland Indians","Cleveland Stadium",75,87
1486,1967,"Detroit Tigers","Tiger Stadium",91,71
